timestamp,src_ip,dst_ip,src_port,dst_port,protocol,length,suspicious,suspicious_reason
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,54075,UDP,82,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.142,54075,443,UDP,81,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.142,54075,443,UDP,81,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.142,54075,443,UDP,125,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.142,54075,443,UDP,113,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.142,54075,443,UDP,1288,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.142,54075,443,UDP,820,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,52823,UDP,82,False,
2026-07-18 00:27:15,8.8.4.4,192.168.18.71,443,63199,UDP,65,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,52823,UDP,1292,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,52823,UDP,1292,False,
2026-07-18 00:27:15,142.250.202.106,192.168.18.71,443,52823,UDP,1292,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.106,52823,443,UDP,1292,False,
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,54075,UDP,1292,False,
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,54075,UDP,154,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.142,54075,443,UDP,203,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.142,54075,443,UDP,1292,False,
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,54075,UDP,672,False,
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,54075,UDP,163,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.142,54075,443,UDP,75,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.142,54075,443,UDP,75,False,
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,54075,UDP,65,False,
